 #            /
 #    G   =   | df f(w) g(w)
 #            /
 # 
 #  w_ave       G         dG        w_low   w_high
   0.077  0.3881E+00  0.4530E-02   -0.007    0.161
   0.238  0.2075E+00  0.1998E-02    0.161    0.316
   0.393  0.9383E-01  0.2946E-02    0.316    0.470
   0.547  0.4597E-01  0.1602E-02    0.470    0.624
   0.701  0.3139E-01  0.7163E-03    0.624    0.778
   0.863  0.3422E-01  0.1049E-02    0.778    0.947
   1.024  0.3812E-01  0.1589E-02    0.947    1.101
   1.178  0.4081E-01  0.1511E-02    1.101    1.255
   1.332  0.3089E-01  0.9203E-03    1.255    1.410
   1.487  0.1540E-01  0.8134E-03    1.410    1.564
   1.648  0.5557E-02  0.6461E-03    1.564    1.732
   1.809  0.1253E-02  0.2864E-03    1.732    1.886
   1.963  0.2902E-03  0.1099E-03    1.886    2.041
   2.118  0.6668E-04  0.3742E-04    2.041    2.195
   2.272  0.1703E-04  0.1284E-04    2.195    2.349
   2.433  0.5642E-05  0.5281E-05    2.349    2.517
   2.595  0.2159E-05  0.2324E-05    2.517    2.672
   2.749  0.1422E-05  0.1626E-05    2.672    2.826
   2.903  0.1526E-05  0.1737E-05    2.826    2.980
   3.057  0.2958E-05  0.3134E-05    2.980    3.135
   3.212  0.1106E-04  0.1017E-04    3.135    3.289
   3.373  0.7299E-04  0.5316E-04    3.289    3.457
   3.534  0.3058E-03  0.1620E-03    3.457    3.611
   3.689  0.7311E-03  0.2420E-03    3.611    3.766
   3.843  0.9262E-03  0.1400E-03    3.766    3.920
   3.997  0.7030E-03  0.1343E-03    3.920    4.074
   4.158  0.3870E-03  0.1710E-03    4.074    4.243
   4.320  0.1290E-03  0.9957E-04    4.243    4.397
   4.474  0.3780E-04  0.4359E-04    4.397    4.551
   4.628  0.8809E-05  0.1419E-04    4.551    4.705
   4.783  0.1669E-05  0.3579E-05    4.705    4.860
   4.944  0.2682E-06  0.7416E-06    4.860    5.028
   5.105  0.3616E-07  0.1286E-06    5.028    5.182
   5.259  0.3243E-07  0.1410E-06    5.182    5.337
   5.414  0.3655E-07  0.1869E-06    5.337    5.491
   5.568  0.4129E-07  0.2431E-06    5.491    5.645
   5.729  0.5124E-07  0.3426E-06    5.645    5.813
   5.890  0.5343E-07  0.3981E-06    5.813    5.968
   6.045  0.6041E-07  0.4915E-06    5.968    6.122
   6.199  0.6820E-07  0.5976E-06    6.122    6.276
   6.353  0.7683E-07  0.7159E-06    6.276    6.430
   6.508  0.8631E-07  0.8452E-06    6.430    6.585
   6.669  0.1060E-06  0.1080E-05    6.585    6.753
   6.830  0.1088E-06  0.1143E-05    6.753    6.907
   6.984  0.1208E-06  0.1292E-05    6.907    7.062
   7.139  0.1334E-06  0.1442E-05    7.062    7.216
   7.293  0.1467E-06  0.1589E-05    7.216    7.370
   7.454  0.1756E-06  0.1892E-05    7.370    7.538
   7.616  0.1757E-06  0.1868E-05    7.538    7.693
   7.770  0.1899E-06  0.1981E-05    7.693    7.847
   7.924  0.2041E-06  0.2079E-05    7.847    8.001
   8.078  0.2181E-06  0.2158E-05    8.001    8.156
   8.240  0.2535E-06  0.2424E-05    8.156    8.324
   8.401  0.2461E-06  0.2266E-05    8.324    8.478
   8.555  0.2584E-06  0.2293E-05    8.478    8.632
   8.710  0.2699E-06  0.2306E-05    8.632    8.787
   8.864  0.2803E-06  0.2308E-05    8.787    8.941
   9.025  0.3163E-06  0.2513E-05    8.941    9.109
   9.186  0.2983E-06  0.2295E-05    9.109    9.263
   9.341  0.3050E-06  0.2286E-05    9.263    9.418
   9.495  0.3103E-06  0.2276E-05    9.418    9.572
   9.649  0.3142E-06  0.2268E-05    9.572    9.726
   9.803  0.3168E-06  0.2259E-05    9.726    9.881
   9.965  0.3470E-06  0.2453E-05    9.881   10.049
  10.126  0.3180E-06  0.2235E-05   10.049   10.203
  10.280  0.3167E-06  0.2215E-05   10.203   10.357
  10.435  0.3142E-06  0.2188E-05   10.357   10.512
  10.589  0.3107E-06  0.2150E-05   10.512   10.666
  10.750  0.3338E-06  0.2290E-05   10.666   10.834
  10.911  0.3004E-06  0.2035E-05   10.834   10.989
  11.066  0.2943E-06  0.1962E-05   10.989   11.143
  11.220  0.2876E-06  0.1877E-05   11.143   11.297
  11.374  0.2803E-06  0.1781E-05   11.297   11.451
  11.536  0.2971E-06  0.1824E-05   11.451   11.620
  11.697  0.2639E-06  0.1557E-05   11.620   11.774
  11.851  0.2557E-06  0.1443E-05   11.774   11.928
  12.005  0.2472E-06  0.1328E-05   11.928   12.083
