 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
    0    1  (-0.187545E+00,-0.258422E+00) (-0.168662E+00,-0.239364E+00) (-0.140341E+00,-0.584240E+00)      1.570796      1.000000
    1    1  (-0.125696E+00,-0.110311E+00) (-0.123214E+00,-0.102100E+00) (-0.174240E-01,-0.209923E+00)      4.712389      1.000000
    2    1  (-0.117713E+00,-0.688987E-01) (-0.116668E+00,-0.632465E-01) (-0.634185E-02,-0.126822E+00)      7.853982      1.000000
    3    1  (-0.115112E+00,-0.495636E-01) (-0.114688E+00,-0.456078E-01) (-0.324574E-02,-0.907618E-01)     10.995574      1.000000
    4    1  (-0.113869E+00,-0.382800E-01) (-0.113848E+00,-0.356155E-01) (-0.196602E-02,-0.706488E-01)     14.137167      1.000000
    5    1  (-0.113577E+00,-0.318036E-01) (-0.113416E+00,-0.292000E-01) (-0.131696E-02,-0.578270E-01)     17.278760      1.000000
    6    1  (-0.113431E+00,-0.266054E-01) (-0.113166E+00,-0.247372E-01) (-0.943274E-03,-0.489419E-01)     20.420352      1.000000
    7    1  (-0.113033E+00,-0.233918E-01) (-0.113009E+00,-0.214550E-01) (-0.708673E-03,-0.424225E-01)     23.561945      1.000000
    8    1  (-0.112987E+00,-0.205564E-01) (-0.112903E+00,-0.189404E-01) (-0.551823E-03,-0.374353E-01)     26.703538      1.000000
    9    1  (-0.112904E+00,-0.183986E-01) (-0.112829E+00,-0.169526E-01) (-0.441814E-03,-0.334971E-01)     29.845130      1.000000
   10    1  (-0.112843E+00,-0.166503E-01) (-0.112775E+00,-0.153420E-01) (-0.361695E-03,-0.303084E-01)     32.986723      1.000000
   11    1  (-0.112798E+00,-0.152052E-01) (-0.112734E+00,-0.140107E-01) (-0.301545E-03,-0.276739E-01)     36.128316      1.000000
   12    1  (-0.112763E+00,-0.139907E-01) (-0.112703E+00,-0.128917E-01) (-0.255240E-03,-0.254607E-01)     39.269908      1.000000
   13    1  (-0.112736E+00,-0.129557E-01) (-0.112678E+00,-0.119382E-01) (-0.218835E-03,-0.235753E-01)     42.411501      1.000000
   14    1  (-0.112714E+00,-0.120633E-01) (-0.112658E+00,-0.111159E-01) (-0.189698E-03,-0.219498E-01)     45.553093      1.000000
   15    1  (-0.112696E+00,-0.112858E-01) (-0.112642E+00,-0.103995E-01) (-0.166014E-03,-0.205340E-01)     48.694686      1.000000
   16    1  (-0.112681E+00,-0.106024E-01) (-0.112629E+00,-0.976988E-02) (-0.146504E-03,-0.192897E-01)     51.836279      1.000000
   17    1  (-0.112669E+00,-0.999704E-02) (-0.112618E+00,-0.921209E-02) (-0.130241E-03,-0.181877E-01)     54.977871      1.000000
   18    1  (-0.112658E+00,-0.945704E-02) (-0.112609E+00,-0.871452E-02) (-0.116543E-03,-0.172047E-01)     58.119464      1.000000
   19    1  (-0.112650E+00,-0.897238E-02) (-0.112601E+00,-0.826793E-02) (-0.104898E-03,-0.163225E-01)     61.261057      1.000000
   20    1  (-0.112642E+00,-0.853495E-02) (-0.112594E+00,-0.786487E-02) (-0.949144E-04,-0.155264E-01)     64.402649      1.000000
   21    1  (-0.112636E+00,-0.813818E-02) (-0.112588E+00,-0.749927E-02) (-0.862912E-04,-0.148043E-01)     67.544242      1.000000
   22    1  (-0.112630E+00,-0.777666E-02) (-0.112583E+00,-0.716615E-02) (-0.787919E-04,-0.141464E-01)     70.685835      1.000000
   23    1  (-0.112625E+00,-0.744588E-02) (-0.112579E+00,-0.686135E-02) (-0.722294E-04,-0.135445E-01)     73.827427      1.000000
   24    1  (-0.112621E+00,-0.714209E-02) (-0.112575E+00,-0.658142E-02) (-0.664539E-04,-0.129917E-01)     76.969020      1.000000
   25    1  (-0.112617E+00,-0.686211E-02) (-0.112572E+00,-0.632343E-02) (-0.613443E-04,-0.124823E-01)     80.110613      1.000000
   26    1  (-0.112613E+00,-0.660325E-02) (-0.112568E+00,-0.608490E-02) (-0.568022E-04,-0.120113E-01)     83.252205      1.000000
   27    1  (-0.112610E+00,-0.636321E-02) (-0.112566E+00,-0.586370E-02) (-0.527464E-04,-0.115745E-01)     86.393798      1.000000
