 Results for nuse,nreal,run,beta,isign
          16           8         180   2.00000000000000                1
  
 warm,mcskip,meas,ntr,run
          80           4         643        4000         180
  
 tprime,ed,U,beta,sus
    0.000  0.4136   1.500   2.000    1.000
  
  
    tau      Gtau(n)          +/-       curt  skew  prob
 Real Greens function ReGw
    1.5708 -0.5651617E-01  0.1389858E-04 -0.45  0.15 0.367802E+00
    4.7124 -0.1135588E-01  0.1620000E-05 -0.24  0.06 0.892436E+00
    7.8540 -0.4375898E-02  0.6115410E-06  0.03  0.15 0.435382E+00
   10.9956 -0.2278304E-02  0.3228322E-06  0.67  0.40 0.159713E-01
   14.1372 -0.1389831E-02  0.1992492E-06 -0.09  0.07 0.818265E+00
   17.2788 -0.9342112E-03  0.1317637E-06 -0.46  0.17 0.778708E+00
   20.4204 -0.6705261E-03  0.9156262E-07 -0.45 -0.16 0.966391E+00
   23.5619 -0.5044505E-03  0.6864486E-07 -0.31 -0.19 0.827362E+00
 Imaginary Greens function ImGw
    1.5708 -0.5269375E+00  0.4353254E-04 -0.44  0.02 0.801351E+00
    4.7124 -0.2059263E+00  0.5013171E-05  0.22 -0.11 0.561915E+00
    7.8540 -0.1258861E+00  0.1913479E-05 -0.14  0.08 0.364066E+00
   10.9956 -0.9041329E-01  0.9133350E-06 -0.31  0.06 0.948389E+00
   14.1372 -0.7048406E-01  0.5486672E-06 -0.38  0.06 0.642912E+00
   17.2788 -0.5773579E-01  0.3711058E-06  0.41 -0.16 0.467143E+00
   20.4204 -0.4888693E-01  0.2618523E-06  0.13  0.13 0.582122E+00
   23.5619 -0.4238606E-01  0.2101100E-06 -0.42  0.24 0.846174E+00
  
  Covariance data 
    i     j     Gij-GiGj        +/-
    1     1   0.3457751E-07   0.3250443E-08
    1     2  -0.6580490E-09   0.2914665E-09
    1     3  -0.2698570E-09   0.1052098E-09
    1     4  -0.1818952E-09   0.5791238E-10
    1     5  -0.1157271E-09   0.3430655E-10
    1     6  -0.8907690E-10   0.2252053E-10
    1     7  -0.5565265E-10   0.1572181E-10
    1     8  -0.4219376E-10   0.1302010E-10
    1     9   0.8085051E-07   0.8695526E-08
    1    10   0.3719762E-08   0.1010153E-08
    1    11   0.5867276E-09   0.3967464E-09
    1    12   0.5120150E-09   0.1632141E-09
    1    13   0.2415097E-09   0.1043720E-09
    1    14   0.1480450E-09   0.7199923E-10
    1    15   0.2318075E-10   0.5022871E-10
    1    16   0.1226857E-10   0.3944324E-10
    2     2   0.4697675E-09   0.4702122E-10
    2     3   0.1168244E-09   0.1578253E-10
    2     4   0.5456582E-10   0.9018572E-11
    2     5   0.3242848E-10   0.4959613E-11
    2     6   0.2324263E-10   0.3387853E-11
    2     7   0.1358454E-10   0.2169133E-11
    2     8   0.1051337E-10   0.1632482E-11
    2     9  -0.7629800E-08   0.1162224E-08
    2    10   0.1136458E-09   0.1267039E-09
    2    11   0.6194138E-10   0.4021367E-10
    2    12   0.3029536E-10   0.2148160E-10
    2    13   0.9108905E-11   0.1173517E-10
    2    14   0.1910027E-10   0.8564994E-11
    2    15   0.4138385E-11   0.5495905E-11
    2    16  -0.4566988E-11   0.4471901E-11
    3     3   0.6694283E-10   0.7187714E-11
    3     4   0.2591074E-10   0.3663251E-11
    3     5   0.1475809E-10   0.2075925E-11
    3     6   0.9755699E-11   0.1235843E-11
    3     7   0.6685131E-11   0.8438367E-12
    3     8   0.4953642E-11   0.6582135E-12
    3     9  -0.2807078E-08   0.3913223E-09
    3    10  -0.2210133E-09   0.4708037E-10
    3    11   0.6760502E-11   0.1587874E-10
    3    12   0.5874275E-11   0.8108323E-11
